#,title,authors,journal,year,doi,link
25,"An intercomparison of tropospheric ozone reanalysis products from CAMS, CAMS interim, TCR-1, and TCR-2","Huijnen, V., Miyazaki, K., Flemming, J., Inness, A., Sekiya, T., and Schultz, M. G.",Geosci. Model Dev.,2020,10.5194/gmd-13-1513-2020,https://doi.org/10.5194/gmd-13-1513-2020
26,Attribution of Chemistry-Climate Model Initiative (CCMI) ozone radiative flux bias from satellites,"Kuai, L., Bowman, K. W., Miyazaki, K., Deushi, M., Revell, L., Rozanov, E., Paulot, F., Strode, S., Conley, A., Lamarque, J.-F., Jöckel, P., Plummer, D. A., Oman, L. D., Worden, H., Kulawik, S., Paynter, D., Stenke, A., and Kunze, M.",Atmos. Chem. Phys.,2020,10.5194/acp-20-281-2020,https://doi.org/10.5194/acp-20-281-2020
27,Air quality response in China linked to the 2019 novel coronavirus (COVID‐19) lockdown,"Miyazaki, K., Bowman, K., Sekiya, T., Jiang, Z., Chen, X., Eskes, H., Ru, M., Zhang, Y., Shindell, D.",Geophysical Research Letters,2020,10.1029/2020GL089252,https://doi.org/10.1029/2020GL089252
28,"Updated tropospheric chemistry reanalysis and emission estimates, TCR-2, for 2005–2018","Miyazaki, K., Bowman, K., Sekiya, T., Eskes, H., Boersma, F., Worden, H., Livesey, N., Payne, V. H., Sudo, K., Kanaya, Y., Takigawa, M., and Ogochi, K.",Earth Syst. Sci. Data,2020,10.5194/essd-12-2223-2020,https://doi.org/10.5194/essd-12-2223-2020
29,Evaluation of tropospheric ozone reanalyses with independent ozonesonde observations in East Asia,"Park, S., Son, S., Jung, M. et al.",Geosci. Lett.,2020,10.1186/s40562-020-00161-9,https://doi.org/10.1186/s40562-020-00161-9
30,"Long-term evaluation of atmospheric composition reanalyses from CAMS, TCR-2, and MERRA-2 over South Korea: Insights into applications, implications, and limitations","Ryu, Young-Hee, Seung-Ki Min",Atmospheric Environment,2020,10.1016/j.atmosenv.2020.118062,https://doi.org/10.1016/j.atmosenv.2020.118062
31,Inverse estimation of NOx emissions over China and India 2005–2016: contrasting recent trends and future perspectives,"Itahashi, S., K. Yumimoto, J Kurokawa, Y. Morino, T Nagashima, K. Miyazaki, T. Maki and T. Ohara",Environmental Research Letters,2019,10.1088/1748-9326/ab4d5f,https://doi.org/10.1088/1748-9326/ab4d5f
32,"Ozone and carbon monoxide observations over open oceans on R/V Mirai from 67° S to 75° N during 2012 to 2017: testing global chemical reanalysis in terms of Arctic processes, low ozone levels at low latitudes, and pollution transport","Kanaya, Y., Miyazaki, K., Taketani, F., Miyakawa, T., Takashima, H., Komazaki, Y., Pan, X., Kato, S., Sudo, K., Sekiya, T., Inoue, J., Sato, K., and Oshima, K.",Atmos. Chem. Phys.,2019,10.5194/acp-19-7233-2019,https://doi.org/10.5194/acp-19-7233-2019
33,Balance of emission and dynamical controls on ozone during the Korea‐United States Air Quality campaign from multiconstituent satellite data assimilation,"Miyazaki, K., Sekiya, T., Fu, D., Bowman, K. W., Kulawik, S. S., Sudo, K., et al.",J. Geophys. Res.- Atmos.,2019,10.1029/2018JD028912,https://doi.org/10.1029/2018JD028912
34,Satellite data reveal a common combustion emission pathway for major cities in China,"Tang, W., Arellano, A. F., Gaubert, B., Miyazaki, K., and Worden, H. M.",Atmos. Chem. Phys.,2019,10.5194/acp-19-4269-2019,https://doi.org/10.5194/acp-19-4269-2019
35,Comparison of Near-surface NO2 Pollution with Pandora Total Column NO2 during the Korea-United States Ocean Color (KORUS OC) Campaign,"Thompson, A. M., R. M. Stauffer, T. P. Boyle, D. E. Kollonige, K. Miyazaki, M. Tzortziou, J. R. Herman, C. E. Jordan, B. T. Lamb",Journal of Geophysical Research: Atmospheres,2019,10.1029/2019JD030765,https://doi.org/10.1029/2019JD030765
36,Transboundary ozone pollution across East Asia: daily evolution and photochemical production analysed by IASI+GOME2 multispectral satellite observations and models,"Cuesta, J., Kanaya, Y., Takigawa, M., Dufour, G., Eremenko, M., Foret, G., Miyazaki, K., and Beekmann, M.",Atmos. Chem. Phys.,2018,10.5194/acp-2017-972,https://doi.org/10.5194/acp-2017-972
37,Retrievals of tropospheric ozone profiles from the synergism of AIRS and OMI: methodology and validation,"Fu, D., Kulawik, S. S., Miyazaki, K., Bowman, K. W., Worden, J. R., Eldering, A., Livesey, N. J., Teixeira, J., Irion, F. W., Herman, R. L., Osterman, G. B., Liu, X., Levelt, P. F., Thompson, A. M., and Luo, M.",Atmos. Meas. Tech.,2018,10.5194/amt-11-5587-2018,https://doi.org/10.5194/amt-11-5587-2018
38,Unexpected slowdown of US pollutant emission reduction in the past decade,"Jiang, Z., B. C McDonald, H. M Worden, J. R Worden, K. Miyazaki, Z. Qu, D. K. Henze, D. Jones, A. Arellano, E. Fischer, L. Zhu, F. Boersma",Proc. Natl. Acad. Sci. USA,2018,10.1073/pnas.1801191115,https://doi.org/10.1073/pnas.1801191115
39,Seasonal and spatial changes in trace gases over megacities from Aura TES observations: two case studies,"Cady-Pereira, K. E., Payne, V. H., Neu, J. L., Bowman, K. W., Miyazaki, K., Marais, E. A., Kulawik, S., Tzompa-Sosa, Z. A., and Hegarty, J. D.",Atmos. Chem. Phys.,2017,10.5194/acp-17-9379-2017,https://doi.org/10.5194/acp-17-9379-2017
40,Intercomparison of NOx emission inventories over East Asia,"Ding, J., Miyazaki, K., van der A, R. J., Mijling, B., Kurokawa, J.-I., Cho, S., Janssens-Maenhout, G., Zhang, Q., Liu, F., and Levelt, P. F.",Atmos. Chem. Phys.,2017,10.5194/acp-17-10125-2017,https://doi.org/10.5194/acp-17-10125-2017
41,Decadal changes in global surface NOx emissions from multi-constituent satellite data assimilation,"Miyazaki, K., Eskes, H., Sudo, K., Boersma, K. F., Bowman, K., and Kanaya, Y.",Atmos. Chem. Phys.,2017,10.5194/acp-17-807-2017,https://doi.org/10.5194/acp-17-807-2017
42,Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a satellite-based multi-constituent chemical reanalysis,"Miyazaki, K. and Bowman, K.",Atmos. Chem. Phys.,2017,10.5194/acp-17-8285-2017,https://doi.org/10.5194/acp-17-8285-2017
43,Impacts of anthropogenic and natural sources on free tropospheric ozone over the Middle East,"Jiang, Z., K. Miyazaki, J. R. Worden, J. J. Liu, D. B. A. Jones, and D. K. Henze",Atmos. Chem. Phys.,2016,10.5194/acp-16-6537-2016,https://doi.org/10.5194/acp-16-6537-2016
44,"A tropospheric chemistry reanalysis for the years 2005–2012 based on an assimilation of OMI, MLS, TES, and MOPITT satellite data","Miyazaki, K., Eskes, H. J., and Sudo, K.",Atmos. Chem. Phys.,2015,10.5194/acp-15-8315-2015,https://doi.org/10.5194/acp-15-8315-2015
45,Identifying drivers of surface ozone bias in global chemical reanalysis with explainable machine learning,"Miyazaki, K., Marchetti, Y., Montgomery, J., Lu, S., Bowman, K.",Atmospheric Chemistry and Physics,2025,10.5194/acp-25-8507-2025,https://doi.org/10.5194/acp-25-8507-2025
46,Uncertainty Quantification for Surface Ozone Emulators using Deep Learning,"Doerksen, K., Marchetti, Y., Lu, S., Bowman, K., Montgomery, J., Miyazaki, K., Gal, Y., Kalaitzis, F.",arXiv preprint arXiv:2508.04885,2025,10.48550/arXiv.2508.04885,https://doi.org/10.48550/arXiv.2508.04885
47,Transport of Peroxyacyl Nitrates (PANs) across Northern Hemisphere Ocean Basins from Satellite Observations,"Shogrin, M.J., Payne, V.H., Kulawik, S., Miyazaki, K., Fischer, E.V.",Authorea Preprints,2025,,
